#Mod Contains;Name in tooltip;RGBA colour code;distance to render -1 for always;soundfile
# NEMESIS MODS
MonsterNemesisColdBeam;Snow Bolt;FF0000FF;-1;
MonsterNemesisLightningCloneLarge;Lightning Mirage;FF0000FF;-1;lightning
MonsterNemesisLightningClone;Lightning Mirage;FF0000FF;-1;lightning
MonsterNemesisFireProjectiles;Inferno Bolt;FF0000FF;-1;
MonsterNemesisPhysicalProjectiles_;Light Bolt;FF0000FF;-1;
MonsterNemesisImmortalGhost;Final Gasp;FF0000FF;-1;
MonsterNemesisVinesLarge;Vine Snare;FF0000FF;-1;
MonsterNemesisVines;Vine Snare;FF0000FF;-1;
MonsterStealthModeBossSideArea;Camouflaged Predator;FF0000FF;-1;
MonsterNemesisStealthMode;Camouflaged Predator;FF0000FF;-1;
MonsterNemesisUniqueDrop;Inner Treasure;00CC00FF;-1;treasure
MonsterImplicitNemesisUniqueDrop;Inner Treasure;00CC00FF;-1;treasure
MonsterAuraPhysicalThorns1;Physical Reflect;F7941DFF;-1;physical
MonsterPhysicalThorns;Physical Reflect;F7941DFF;-1;physical
MonsterAuraElementalThorns1;Elemental Reflect;00FFFFFF;-1;elemental
MonsterElementalThorns;Elemental Reflect;00FFFFFF;-1;elemental
MonsterNemesisCorruptedBlood;Corrupting Blood;E60000FF;-1;corrupting
MonsterItems1;Wealth monsters;FFFF66FF;-1;
MonsterExplodesOnDeathFire1;Volatile Flameblood;669999FF;-1;volatile
MonsterExplodesOnDeathLightning1;Volatile Stormblood;669999FF;-1;volatile
MonsterExplodesOnDeathCold1;Volatile Iceblood;669999FF;-1;volatile
MonsterThornsPhysical1;Physical Reflect;F7941DFF;-1;physical
MonsterThornsElemental1;Elemental Reflect;00FFFFFF;-1;elemental
MonsterThornsPhysical1Large;Physical Reflect;F7941DFF;-1;physical
MonsterThornsElemental1Large;Elemental Reflect;00FFFFFF;-1;elemental
# TALISMAN
TalismanMonsterUnsetAmulet;Has 1 Socket Talisman;CC3399FF;-1;
TalismanMonsterManaAmulet;Increased Mana Talisman;CC3399FF;-1;
TalismanMonsterFireDamageAmulet;Fire Damage Talisman;CC3399FF;-1;
TalismanMonsterColdDamageAmulet;Cold Damage Talisman;CC3399FF;-1;
TalismanMonsterLightningDamageAmulet_;Lightning Damage Talisman;CC3399FF;-1;
TalismanMonsterPhysicalDamageAmulet;Physical Damage Talisman;CC3399FF;-1;
TalismanMonsterChaosDamageAmulet;Chaos Damage Talisman;CC3399FF;-1;
TalismanMonsterAdditionalZombieAmulet;Plus 1 Zombie Talisman;CC3399FF;-1;
TalismanMonsterCritChanceAmulet;Crit Chance Talisman;CC3399FF;-1;
TalismanMonsterTimeDistortion;Atk & Cast Speed Talisman;CC3399FF;-1;
TalismanMonsterPrismatic;Spell Damage Talisman;CC3399FF;-1;
TalismanMonsterAttackAuras;Attack Damage Talisman;CC3399FF;-1;
TalismanMonsterPiercingChance;Piercing Chance Talisman;CC3399FF;-1;
TalismanMonsterStrengthAmulet;Strength Talisman;CC3399FF;-1;
TalismanMonsterIntelligenceAmulet;Intelligence Talisman;CC3399FF;-1;
TalismanMonsterDexterityAmulet;Dexterity Talisman;CC3399FF;-1;
TalismanMonsterEnergyShieldAmulet;Energy Shield Talisman;CC3399FF;-1;
TalismanMonsterFireLensAmulet;Fire Lens Talisman;CC3399FF;-1;
TalismanMonsterColdLensAmulet;Cold Lens Talisman;CC3399FF;-1;
TalismanMonsterLightningLensAmulet;Lightning Lens Talisman;CC3399FF;-1;
TalismanMonsterLifeAmulet;Life Talisman;CC3399FF;-1;
TalismanMonsterItemQuantityAmulet;Item Quantity Talisman;CC3399FF;-1;
TalismanMonsterAllAttributesAmulet;All Attributes Talisman;CC3399FF;-1;
TalismanMonsterAreaOfEffectAmulet;Area Of Effect Talisman;CC3399FF;-1;
TalismanMonsterExperienceAmulet;Experience Talisman;CC3399FF;-1;
TalismanMonsterDamageAmulet;Damage Talisman;CC3399FF;-1;
TalismanMonsterCritMultiplierAmulet;Crit Multiplier Talisman;CC3399FF;-1;
TalismanMonsterElementalHitAmulet;Elemental Hit Talisman;CC3399FF;-1;
TalismanMonsterDeleteOnDeath;Delete On Death Talisman;CC3399FF;-1;
TalismanMonsterFishHunger_;Fish Hunger Talisman;CC3399FF;-1;
MapSpawnwealth;Map Spawn wealth;CC3399FF;-1;
MapSpawnExtrawealth;Map Spawn Extra wealth;CC3399FF;-1;
